title,summary,authors,published,link
"Higgs signals and hard photons via $WW$-fusion in the Standard Model at
  the Next Linear Collider","Within the framework of the Standard Model, integrated and differential
distributions are given for Higgs production via the $WW$-fusion mechanism and
decay via the channels $H\ar b\bar b$ and $H\ar WW\ar {jjjj}$, with and without
photon radiation, at Next Linear Collider energies. Calculations are carried
out at tree-level and rates of the leading processes $e^+e^-\ar\bar\nu_e\nu_e H
\ar \bar\nu_e\nu_e b\bar b $ and $e^+e^-\ar\bar\nu_e\nu_e H \ar \bar\nu_e\nu_e
WW \ar \bar\nu_e\nu_e {jjjj}$ are compared to those of the next-to-leading
reactions $e^+e^-\ar\bar\nu_e\nu_e H (\gamma)\ar \bar\nu_e\nu_e b\bar b \gamma$
and $e^+e^-\ar\bar\nu_e\nu_e H (\gamma)\ar \bar\nu_e\nu_e WW (\gamma) \ar
\bar\nu_e\nu_e {jjjj}\gamma$, in the case of hard and detectable photons.
Finally, a brief discussion concerning the case of $H\ar ZZ\ar{jjjj} (\gamma)$
decays is also given.",['Stefano Moretti'],1996-06-07T16:24:37Z,http://arxiv.org/abs/hep-ph/9606268v1
Construction of zero autocorrelation stochastic waveforms,"Stochastic waveforms are constructed whose expected autocorrelation can be
made arbitrarily small outside the origin. These waveforms are unimodular and
complex-valued. Waveforms with such spike like autocorrelation are desirable in
waveform design and are particularly useful in areas of radar and
communications. Both discrete and continuous waveforms with low expected
autocorrelation are constructed. Further, in the discrete case, frames for the
d-dimensional complex space are constructed from these waveforms and the frame
properties of such frames are studied.",['Somantika Datta'],2012-07-20T20:28:26Z,http://arxiv.org/abs/1207.5055v1
Rings Whose Clean Elements Are Uniquely Strongly Clean,"We define the class of {\it CUSC} rings, that are those rings whose clean
elements are uniquely strongly clean. These rings are a common generalization
of the so-called {\it USC} rings, introduced by Chen-Wang-Zhou in J. Pure \&
Applied Algebra (2009), which are rings whose elements are uniquely strongly
clean. These rings also generalize the so-called {\it CUC} rings, defined by
Calugareanu-Zhou in Mediterranean J. Math. (2023), which are rings whose clean
elements are uniquely clean. We establish that a ring is USC if, and only if,
it is simultaneously CUSC and potent. Some other interesting relationships with
CUC rings are obtained as well.","['Peter Danchev', 'Omid Hasanzadeh', 'Ahmad Moussavi']",2024-01-07T10:55:34Z,http://arxiv.org/abs/2401.03449v1
Integrated and Differentiated Sequence Spaces and Weighted Mean,"The purpose of this paper is twofold. Firstly, the new matrix domains are
constructed with the new infinite matrices and some properties are
investigated. Furthermore, dual spaces of new matrix domains are computed and
matrix transformations are characterized. Secondly, examples between new spaces
with classical sequence spaces and sequence spaces which are derived by an
infinite matrix are given in the table form.",['Murat Kirisci'],2016-11-26T08:00:03Z,http://arxiv.org/abs/1611.08676v1
Quasi-Cyclic Complementary Dual Code,"LCD codes are linear codes that intersect with their dual trivially. Quasi
cyclic codes that are LCD are characterized and studied by using their
concatenated structure. Some asymptotic results are derived. Hermitian LCD
codes are introduced to that end and their cyclic subclass is characterized.
Constructions of QCCD codes from codes over larger alphabets are given.","['Cem Güneri', 'Buket Özkaya', 'Patrick Solé']",2015-06-05T17:00:17Z,http://arxiv.org/abs/1506.01971v1
Relative MMP without Q-factoriality,"We consider the minimal model program for varieties that are not Q-factorial.
We show that, in many cases, its steps are simpler than expected. In
particular, all flips are 1-complemented. The main applications are to log
terminal singularities, removing the earlier Q-factoriality assumption from
several theorems of Hacon--Witaszek and de~Fernex--Koll\'ar--Xu. Version 2:
many small changes.",['János Kollár'],2020-12-09T21:33:44Z,http://arxiv.org/abs/2012.05327v2
On structure of topological metagroups,"In this article topologies on metagroups are studied. They are related with
generalized $C^*$-algebras over ${\bf R}$ or ${\bf C}$. Homomorphisms and
quotient maps on them are investigated. Structure of topological metagroups is
scrutinized. In particular, topologies on smashed products and smashed twisted
wreath products of metagroups are scrutinized, which are making them
topological metagroups. Moreover, their inverse homomorphism systems are
studied.",['Sergey Victor Ludkowski'],2021-10-28T17:23:51Z,http://arxiv.org/abs/2110.15308v1
Evolution of active region outflows throughout an active region lifetime,"We have shown previously that SOHO/UVCS data allow us to detect active region
(AR) outflows at coronal altitudes higher than those reached by other
instrumentation. These outflows are thought to be a component of the slow solar
wind. Our purpose is to study the evolution of the outflows in the intermediate
corona from AR 8100, from the time the AR first forms until it dissolves, after
several transits at the solar limb. Data acquired by SOHO/UVCS at the time of
the AR limb transits, at medium latitudes and at altitudes ranging from 1.5 to
2.3 R_sun, were used to infer the physical properties of the outflows through
the AR evolution. To this end, we applied the Doppler dimming technique to UVCS
spectra. These spectra include the H I Lyman alpha line and the O VI doublet
lines at 1031.9 and 1037.6 A. Plasma speeds and electron densities of the
outflows were inferred over several rotations of the Sun. AR outflows are
present in the newly born AR and persist throughout the entire AR life.
Moreover, we found two types of outflows at different latitudes, both possibly
originating in the same negative polarity area of the AR. We also analyzed the
behavior of the Si XII 520 A line along the UVCS slit in an attempt to reveal
changes in the Si abundance when different regions are traversed. Although we
found some evidence for a Si enrichment in the AR outflows, alternative
interpretations are also plausible. Our results demonstrate that outflows from
ARs are detectable in the intermediate corona throughout the whole AR lifetime.
This confirms that outflows contribute to the slow wind.","['L. Zangrilli', 'G. Poletto']",2016-08-26T09:48:24Z,http://arxiv.org/abs/1608.07408v1
Cluster Based Cost Efficient Intrusion Detection System For Manet,"Mobile ad-hoc networks are temporary wireless networks. Network resources are
abnormally consumed by intruders. Anomaly and signature based techniques are
used for intrusion detection. Classification techniques are used in anomaly
based techniques. Intrusion detection techniques are used for the network
attack detection process. Two types of intrusion detection systems are
available. They are anomaly detection and signature based detection model. The
anomaly detection model uses the historical transactions with attack labels.
The signature database is used in the signature based IDS schemes.
  The mobile ad-hoc networks are infrastructure less environment. The intrusion
detection applications are placed in a set of nodes under the mobile ad-hoc
network environment. The nodes are grouped into clusters. The leader nodes are
assigned for the clusters. The leader node is assigned for the intrusion
detection process. Leader nodes are used to initiate the intrusion detection
process. Resource sharing and lifetime management factors are considered in the
leader election process. The system optimizes the leader election and intrusion
detection process.
  The system is designed to handle leader election and intrusion detection
process. The clustering scheme is optimized with coverage and traffic level.
Cost and resource utilization is controlled under the clusters. Node mobility
is managed by the system.","['Saravanan Kumarasamy', 'Hemalatha B', 'Hashini P']",2013-11-06T16:59:06Z,http://arxiv.org/abs/1311.1446v1
"Inelastic processes in Na$^{+}-$Ne, Ar and Ne$^{+},$ Ar$^{+}-$Na
  collisions in energy range $0.5-14$ keV","Absolute cross sections for charge-exchange, ionization and excitation in
Na$% ^{+}-$Ne and Na$^{+}-$Ar collisions were measured in the ion energy range
$% 0.5-10$ keV using a refined version of a capacitor method, and collision and
optical spectroscopy methods simultaneously in the same experimental set-up.
Ionization cross sections for Ne$^{+}-$Na and Ar$^{+}-$Na collisions are
measured at the energies of $2-14$ keV using a crossed-beam spectroscopy
method. The experimental data and the schematic correlation diagrams are used
to analyze and determine the mechanisms for these processes. For the
charge-exchange process in Na$^{+}$ $-$Ar collisions two nonadiabatic regions
are revealed and mechanisms responsible for these regions are explained.
Structural peculiarity on the excitation function for the resonance lines of
argon atoms in Na$^{+}$ $-$Ar collisions are observed and the possible
mechanisms of this phenomenon are explored. The measured ionization cross
sections for Na$^{+}-$Ne and Ne$^{+}-$Na collisions in conjunction with the
Landau-Zener formula are used to determine the coupling matrix element and
transition probability in a region of pseudo-crossing of the potential curves.","['R. A. Lomsadze', 'M. R. Gochitashvili', 'R. Ya. Kezerashvili']",2015-10-06T03:14:13Z,http://arxiv.org/abs/1510.01418v1
