title,summary,authors,published,link
"Lysine-Cysteine-Serine-Tryptophan Inserted into the DNA-Binding Domain
  of Human Mineralocorticoid Receptor Increases Transcriptional Activation by
  Aldosterone","Due to alternative splicing in an ancestral DNA-binding domain (DBD) of the
mineralocorticoid receptor (MR), humans contain two almost identical MR
transcripts with either 984 amino acids (MR-984) or 988 amino acids (MR-988),
in which their DBDs differ by only four amino acids, Lys,Cys,Ser,Trp (KCSW).
Human MRs also contain mutations at two sites, codons 180 and 241, in the amino
terminal domain (NTD). Together, there are five distinct full-length human MR
genes in GenBank. Human MR-984, which was cloned in 1987, has been extensively
studied. Human MR-988, cloned in 1995, contains KCSW in its DBD. Neither this
human MR-988 nor the other human MR-988 genes have been studied for their
response to aldosterone and other corticosteroids. Here, we report that
transcriptional activation of human MR-988 by aldosterone is increased by about
50% compared to activation of human MR-984 in HEK293 cells transfected with the
TAT3 promoter, while the half-maximal response (EC50) is similar for
aldosterone activation of MR-984 and MR-988. Transcriptional activation of
human MR also depends on the amino acids at codons 180 and 241. Interestingly,
in HEK293 cells transfected with the MMTV promoter, transcriptional activation
by aldosterone of human MR-988 is similar to activation of human MR-984,
indicating that the promoter has a role in the regulation of the response of
human MR-988 to aldosterone. The physiological responses to aldosterone and
other corticosteroids in humans with MR genes containing KCSW and with
differences at codons 180 and 241 in the NTD warrant investigation.","['Yoshinao Katsu', 'Jiawen Zhang', 'Michael E. Baker']",2024-05-16T20:30:18Z,http://arxiv.org/abs/2405.10432v1
"MR-Scout: Automated Synthesis of Metamorphic Relations from Existing
  Test Cases","Metamorphic Testing (MT) alleviates the oracle problem by defining oracles
based on metamorphic relations (MRs), that govern multiple related inputs and
their outputs. However, designing MRs is challenging, as it requires
domain-specific knowledge. This hinders the widespread adoption of MT. We
observe that developer-written test cases can embed domain knowledge that
encodes MRs. Such encoded MRs could be synthesized for testing not only their
original programs but also other programs that share similar functionalities.
  In this paper, we propose MR-Scout to automatically synthesize MRs from test
cases in open-source software (OSS) projects. MR-Scout first discovers
MR-encoded test cases (MTCs), and then synthesizes the encoded MRs into
parameterized methods (called codified MRs), and filters out MRs that
demonstrate poor quality for new test case generation. MR-Scout discovered over
11,000 MTCs from 701 OSS projects. Experimental results show that over 97% of
codified MRs are of high quality for automated test case generation,
demonstrating the practical applicability of MR-Scout. Furthermore,
codified-MRs-based tests effectively enhance the test adequacy of programs with
developer-written tests, leading to 13.52% and 9.42% increases in line coverage
and mutation score, respectively. Our qualitative study shows that 55.76% to
76.92% of codified MRs are easily comprehensible for developers.","['Congying Xu', 'Valerio Terragni', 'Hengcheng Zhu', 'Jiarong Wu', 'Shing-Chi Cheung']",2023-04-15T12:53:32Z,http://arxiv.org/abs/2304.07548v3
"Novel Evolution of the Mineralocorticoid Receptor in Humans compared to
  Chimpanzees, Gorillas and Orangutans","Five distinct full-length mineralocorticoid receptor (MR) genes have been
identified in humans. These human MRs can be distinguished by the presence or
absence of an in-frame insertion of 12 base pairs coding for Lys, Cys, Ser, Trp
(KCSW) in their DNA-binding domain (DBD) and the presence of two amino acid
mutations in their amino terminal domain (NTD). Two human MRs with the KCSW
insertion (MR-KCSW) and three human MRs without KCSW in the DBD have been
identified. The three human MRs without KCSW contain either (Ile-180, Ala-241)
or (Val-180, Val-241) or (Ile-180, Val-241) in their NTD. The two human MRs
with KCSW contain either (Val-180, Val-241) or (Ile-180, Val-241) in their NTD.
Human MR-KCSW with (Ile-180, Ala-241) has not been cloned. In contrast,
chimpanzees contain two MRs with KCSW and two MRs without KCSW in their DBD and
both contain only Ile180, Val-241 in their NTDs. Each pair of chimpanzee MRs
differ at another amino acid in the NTD. A chimpanzee MR with either Val-180,
Val-241 or Ile-180, Ala-241 in the NTD has not been cloned. Gorillas and
orangutans each contain one MR with KCSW in the DBD and one MR without KCSW.
Both gorilla and orangutan MRs contain I-180, Val-241 in their NTD. Neither
Val-180, Val-241 nor Ile-180, Ala-241 are found in the NTD in either a gorilla
MR or an orangutan MR. These data suggest that human MRs with Val-180, Val-241
or Ile-180, Ala-241 in the NTD evolved after humans and chimpanzees diverged
from their common ancestor. These unique human MRs may have had a role in the
divergent evolution of humans from chimpanzees. Studies are underway to
characterize transcriptional activation of the five human MRs by aldosterone,
cortisol, and other corticosteroids for comparison with each other to elucidate
the roles of these MRs in human physiology.","['Yoshinao Katsu', 'Jiawen Zhang', 'Michael E. Baker']",2023-12-08T22:33:24Z,http://arxiv.org/abs/2312.05396v1
Towards a Complete Metamorphic Testing Pipeline,"Metamorphic Testing (MT) addresses the test oracle problem by examining the
relationships between input-output pairs in consecutive executions of the
System Under Test (SUT). These relations, known as Metamorphic Relations (MRs),
specify the expected output changes resulting from specific input changes.
However, achieving full automation in generating, selecting, and understanding
MR violations poses challenges. Our research aims to develop methods and tools
that assist testers in generating MRs, defining constraints, and providing
explainability for MR outcomes. In the MR generation phase, we explore
automated techniques that utilise a domain-specific language to generate and
describe MRs. The MR constraint definition focuses on capturing the nuances of
MR applicability by defining constraints. These constraints help identify the
specific conditions under which MRs are expected to hold. The evaluation and
validation involve conducting empirical studies to assess the effectiveness of
the developed methods and validate their applicability in real-world regression
testing scenarios. Through this research, we aim to advance the automation of
MR generation, enhance the understanding of MR violations, and facilitate their
effective application in regression testing.","['Alejandra Duque-Torres', 'Dietmar Pfahl']",2023-09-30T10:49:22Z,http://arxiv.org/abs/2310.00338v1
"Magnetoresistance of 2D and 3D Electron Gas in LaAlO3/SrTiO3
  Heterostructures: Influence of Magnetic Ordering, Interface Scattering and
  Dimensionality","Magnetoresistance (MR) anisotropy in LaAlO3/SrTiO3 (LAO/STO) interfaces is
compared between samples prepared in high oxygen partial pressure (PO2) of 10-4
mbar exhibiting quasi-two-dimensional (quasi-2D) electron gas and low PO2 of
10-6 mbar exhibiting 3D conductivity. While MR of an order of magnitude larger
was observed in low PO2 samples compared to those of high PO2 samples, large MR
anisotropies were observed in both cases. The MR with the out-of-plane field is
always larger compared to the MR with in-plane field suggesting lower
dissipation of electrons from interface versus defect scattering. The quasi-2D
interfaces show a negative MR at low temperatures while the 3D interfaces show
positive MR for all temperatures. Furthermore, the angle relationship of MR
anisotropy for these two different cases and temperature dependence of in-plane
MR are also presented. Our study demonstrates that MR can be used to
distinguish the dimensionality of the charge transport and various (defect,
magnetic center, and interface boundary) scattering processes in this system.","['X. Wang', 'W. M Lü', 'A. Annadi', 'Z. Q. Liu', 'S. Dhar', 'T. Venkatesan', 'Ariando']",2011-10-24T17:49:01Z,http://arxiv.org/abs/1110.5290v1
"Transcriptional Activation of Elephant Shark Mineralocorticoid Receptor
  by Corticosteroids, Progesterone and Spironolactone","We report the analysis of activation by corticosteroids and progesterone of
full-length mineralocorticoid receptor (MR) from elephant shark, a
cartilaginous fish belonging to the oldest group of jawed vertebrates. Based on
their measured activities, aldosterone, cortisol, 11-deoxycorticosterone,
corticosterone, 11-deoxcortisol, progesterone and 19-norprogesterone are
potential physiological mineralocorticoids. However, aldosterone, the
physiological mineralocorticoid in humans and other terrestrial vertebrates, is
not found in cartilaginous or ray-finned fishes. Because progesterone is a
precursor for corticosteroids that activate elephant shark MR, we propose that
progesterone was an ancestral ligand for elephant shark MR. Although
progesterone activates ray-finned fish MRs, progesterone does not activate
human, amphibian or alligator MRs, suggesting that during the transition to
terrestrial vertebrates, progesterone lost the ability to activate the MR.
Comparison of RNA-sequence analysis of elephant shark MR with that of human MR
suggests that MR expression in the human brain, heart, ovary, testis and other
non-epithelial tissues evolved in cartilaginous fishes. Together, these data
suggest that progesterone-activated MR may have unappreciated functions in
elephant shark ovary and testis.","['Yoshinao Katsu', 'Satomi Kohno', 'Kaori Oka', 'Xiaozhi Lin', 'Sumika Otake', 'Nisha E. Pillai', 'Wataru Takagi', 'Susumu Hyodo', 'Byrappa Venkatesh', 'Michael E. Baker']",2018-08-22T19:43:02Z,http://arxiv.org/abs/1808.07539v1
Practical Repetition-Aware Grammar Compression,"The goal of grammar compression is to construct a small sized context free
grammar which uniquely generates the input text data. Among grammar compression
methods, RePair is known for its good practical compression performance.
MR-RePair was recently proposed as an improvement to RePair for constructing
small-sized context free grammar for repetitive text data. However, a compact
encoding scheme has not been discussed for MR-RePair. We propose a practical
encoding method for MR-RePair and show its effectiveness through comparative
experiments. Moreover, we extend MR-RePair to run-length context free grammar
and design a novel variant for it called RL-MR-RePair. We experimentally
demonstrate that a compression scheme consisting of RL-MR-RePair and the
proposed encoding method show good performance on real repetitive datasets.",['Isamu Furuya'],2019-10-29T18:58:48Z,http://arxiv.org/abs/1910.13479v1
"Motion correction for PET using subspace-based real-time MR imaging in
  simultaneous PET/MR","Image quality of PET reconstructions is degraded by subject motion occurring
during the acquisition. MR-based motion correction approaches have been studied
for PET/MR scanners and have been successful at capturing regular motion
patterns, when used in conjunction with surrogate signals (e.g. navigators) to
detect motion. However, handling irregular respiratory motion and bulk motion
remains challenging. In this work, we propose an MR-based motion correction
method relying on subspace-based real-time MR imaging to estimate motion fields
used to correct PET reconstructions. We take advantage of the low-rank
characteristics of dynamic MR images to reconstruct high-resolution MR images
at high frame rates from highly undersampled k-space data. Reconstructed
dynamic MR images are used to determine motion phases for PET reconstruction
and estimate phase-to-phase nonrigid motion fields able to capture complex
motion patterns such as irregular respiratory and bulk motion. MR-derived
binning and motion fields are used for PET reconstruction to generate
motion-corrected PET images. The proposed method was evaluated on in vivo data
with irregular motion patterns. MR reconstructions accurately captured motion,
outperforming state-of-the-art dynamic MR reconstruction techniques. Evaluation
of PET reconstructions demonstrated the benefits of the proposed method over
standard methods in terms of motion artifact reduction. The proposed method can
improve the image quality of motion-corrected PET reconstructions in clinical
applications.","['Thibault Marin', 'Yanis Djebra', 'Paul K. Han', 'Yanis Chemli', 'Isabelle Bloch', 'Georges El Fakhri', 'Jinsong Ouyang', 'Yoann Petibon', 'Chao Ma']",2020-08-27T20:04:08Z,http://arxiv.org/abs/2008.12359v2
"Magneto-transport Effects in Topological Insulator Bi$_2$Se$_3$
  Nanoribbons","Magneto-resistance (MR) of Bi$_2$Se$_3$ nanoribbons is studied over a broad
range of temperature ($T$=300K-2K) and under various magnetic field ($B$)
orientations. The MR is strongly anisotropic with the perpendicular MR much
larger than the longitudinal and transverse MRs. The perpendicular MR exhibits
quadratic $B$-dependence in low fields and becomes linear at high $B$. However,
when $T$ increases, the perpendicular MR becomes linear over the whole magnetic
field range (0-9T) up to room temperature. This unusual linear MR is discussed
in the context of the linear quantum MR of the topological surface-states. We
also observe the boundary-scattering effect in MR at low temperatures, which
indicates that the out-of-plane Fermi momentum is much smaller the in-plane
Fermi momentum, excluding the simple three-dimensional Fermi surface picture.","['Hao Tang', 'Dong Liang', 'Richard L. J. Qiu', 'Xuan P. A. Gao']",2010-03-31T17:15:00Z,http://arxiv.org/abs/1003.6099v4
Deep MR to CT Synthesis using Unpaired Data,"MR-only radiotherapy treatment planning requires accurate MR-to-CT synthesis.
Current deep learning methods for MR-to-CT synthesis depend on pairwise aligned
MR and CT training images of the same patient. However, misalignment between
paired images could lead to errors in synthesized CT images. To overcome this,
we propose to train a generative adversarial network (GAN) with unpaired MR and
CT images. A GAN consisting of two synthesis convolutional neural networks
(CNNs) and two discriminator CNNs was trained with cycle consistency to
transform 2D brain MR image slices into 2D brain CT image slices and vice
versa. Brain MR and CT images of 24 patients were analyzed. A quantitative
evaluation showed that the model was able to synthesize CT images that closely
approximate reference CT images, and was able to outperform a GAN model trained
with paired MR and CT images.","['Jelmer M. Wolterink', 'Anna M. Dinkla', 'Mark H. F. Savenije', 'Peter R. Seevinck', 'Cornelis A. T. van den Berg', 'Ivana Isgum']",2017-08-03T14:18:43Z,http://arxiv.org/abs/1708.01155v1
