published,title,category
2024,Spaces where all bijections are morphisms,math.GN
2019,A Note on Computational Complexity of Kill-all Go,cs.CC
2012,Landau--Kolmogorov inequality revisited,math.NA
2016,"All-in-all-out magnetic domain wall conduction in pyrochlore iridate
  heterointerface",cond-mat.mtrl-sci
2016,"An Improved One-to-All Broadcasting in Higher Dimensional
  Eisenstein-Jacobi Networks",cs.DC
2023,"Efficient All-to-All Collective Communication Schedules for
  Direct-Connect Topologies",cs.DC
2024,On partial endomorphisms of a star graph,math.RA
2007,"Integer symmetric matrices having all their eigenvalues in the interval
  [-2,2]",math.CO
2008,On mappings of terms determined by hypersubstitutions,math.RA
2014,On surjunctive monoids,math.DS
2022,"Deterministic all-versus-nothing proofs of Bell nonlocality based on
  non-stabilizer states",quant-ph
2017,"Evolution of antiferromagnetic domains in the all-in-all-out ordered
  pyrochlore Nd$_2$Zr$_2$O$_7$",cond-mat.str-el
2017,On the roots of all-terminal reliability polynomials,math.CO
2021,"It was ""all"" for ""nothing"": sharp phase transitions for noiseless
  discrete channels",math.ST
2024,"List-Coloring Packing and Correspondence-Coloring Packing of Planar
  Graphs",math.CO
2004,Maximal clones on uncountable sets that include all permutations,math.RA
2011,Orbit structure of interval exchange transformations with flip,math.DS
2012,Blockers for non-crossing spanning trees in complete geometric graphs,math.CO
2014,"Criteria for p-ordinarity of families of elliptic curves over infinitely
  many number fields",math.NT
2016,Plane-filling curves on all uniform grids,math.CO
2008,"On the ternary Goldbach problem with primes in independent arithmetic
  progressions",math.NT
2016,Quadratic forms representing all integers coprime to 3,math.NT
2017,"On the Geometry of Nash and Correlated Equilibria with Cumulative
  Prospect Theoretic Preferences",cs.GT
2019,Shallow Overlay Trees Suffice for High-Throughput Consensus,cs.DC
2023,Network Routing on Regular Digraphs and Their Line Graphs,math.CO
2024,"Characterization of order structures avoiding three-term arithmetic
  progressions",math.CO
2024,Functional Closure Properties of Finite $\mathbb{N}$-weighted Automata,cs.CC
2003,Feasibility of GRB with TeV gamma ray all sky monitor,astro-ph
2005,"On the Possible Monoid Structures of the Natural Numbers N, or Finding
  All Associative Binary Operations on N",math.GM
2005,Quantum Lobachevsky Planes,math.QA
2011,On primary and secondary repetitions in words,cs.FL
2011,"All Fierz-Paulian massive gravity theories have ghosts or superluminal
  modes",hep-th
2019,"All Order $α'$ Corrections to Fermionic Couplings of
  D-brane-Anti-D-brane Effective Actions",hep-th
2018,"The classification of $n$-dimensional anticommutative algebras with
  $(n-3)$-dimensional annihilator",math.RA
2018,A convergent $1/n$-expansion for GSE and GOE,math.PR
2018,"Outer billiards outside regular decagon: periodicity of almost all
  orbits and existence of an aperiodic point",math.DS
2019,"Heron Angles, Heron Triangles, and Heron Parallelograms",math.GM
2022,MAXI : Monitor of All-sky X-ray Image,astro-ph.IM
2022,Accelerating Distributed MoE Training and Inference with Lina,cs.DC
2023,Comment on WKB series of all orders,quant-ph
1997,The covering numbers of Mycielski ideals are all equal,math.LO
2005,On the Number of Hamiltonian Groups,math.CO
2005,Isometry groups of k-curvature homogeneous pseudo-Riemannian manifolds,math.DG
2008,All-optical switch with two periodically curved nonlinear waveguides,physics.optics
2008,On Self-mapping Degrees of $S^3$-geometry manifolds,math.GT
2009,Presentations of Graph Braid Groups,math.GR
2011,Minimum-Energy All-to-All Multicasting in Multi-hop Wireless Networks,cs.NI
2013,The $c_2$ invariant is invariant,math.AG
2015,Injective Subsets of $l_{\infty}(I)$,math.MG
2016,Ramanujan Graphs in Polynomial Time,cs.DS
2015,Zero-divisor graph with seven vertices,math.CO
2015,Derivations of the Leavitt path algebra W(n),math.RA
2016,Minors of asymptotically almost all sparse paving matroids,math.CO
2016,Nice Restrictions of Reflection Arrangements,math.CO
2019,Technical Report: All Principal Congruence Link Groups,math.GT
2019,Almost all Steiner triple systems are almost resolvable,math.CO
2017,Algebras with irreducible module varieties I,math.RT
2020,The Hitchhiker's Guide to the All-Interval 12-Tone Rows,cs.SD
2022,On Distinct Character Degrees,math.GR
2022,"Indecomposable solutions of the Yang-Baxter equation with permutation
  group of sizes $pq$ and $p^2q$",math.QA
2022,"Almost all sets of nonnegative integers and their small perturbations
  are not sumsets",math.NT
2004,Clones on infinite sets,math.RA
2016,"On WZ and RR Couplings of BPS Branes and their all order $α'$
  Corrections in IIB, IIA",hep-th
1994,All regulators of flat bundles are torsion,dg-ga
2005,Strong interactions at all density,hep-ph
2002,Higher Order Invariants of Immersions of Surfaces into 3-Space,math.GT
2002,"On polynomials orthogonal to all powers of a Chebyshev polynomial on a
  segment",math.CV
2005,"Symmetric Bush-type Hadamard matrices of order $4m^4$ exist for all odd
  $m$",math.CO
2005,"Classification of all Jacobian elliptic fibrations on certain K3
  surfaces",math.AG
1998,All Optical Quantum Teleportation,quant-ph
2007,The Self-injective Cluster Tilted Algebras,math.RT
2007,"Group Theoretical Construction of Nucleon Operators using All-to-All
  Quark Propagators",hep-lat
2009,Supertranslations to all orders,math-ph
2010,Affine images of Riemannian manifolds,math.DG
2010,A Formula For All K-Gonal Numbers that Are Centered,math.NT
2010,A Generic Margulis Number for Hyperbolic 3-Manifolds,math.DG
2011,"Simplified existence theorems on all fractional [a,b]-factors",math.CO
2013,"Combining All Pairs Shortest Paths and All Pairs Bottleneck Paths
  Problems",cs.DS
2014,B(G) for all local and global fields,math.RT
2014,The Jacobian Conjecture for the space of all the inner functions,math.CV
2014,All finitely presented groups are QSF,math.GT
2014,"How to construct a closed subscheme, or a coherent subsheaf, with
  prescribed germs",math.AG
2015,Deduction modulo theory,cs.LO
2015,"What is the minimal cardinal of a family which shatters all d-subsets of
  a finite set?",math.CO
