title,summary,authors,published,link,category
Inverse Augmented Reality: A Virtual Agent's Perspective,"We propose a framework called inverse augmented reality (IAR) which describes
the scenario that a virtual agent living in the virtual world can observe both
virtual objects and real objects. This is different from the traditional
augmented reality. The traditional virtual reality, mixed reality and augmented
reality are all generated for humans, i.e., they are human-centered frameworks.
On the contrary, the proposed inverse augmented reality is a virtual
agent-centered framework, which represents and analyzes the reality from a
virtual agent's perspective. In this paper, we elaborate the framework of
inverse augmented reality to argue the equivalence of the virtual world and the
physical world regarding the whole physical structure.","['Zhenliang Zhang', 'Dongdong Weng', 'Haiyan Jiang', 'Yue Liu', 'Yongtian Wang']",2018-08-10T05:23:37Z,http://arxiv.org/abs/1808.03413v1,['cs.HC']
Mobile Augmented Reality Applications,"Augmented reality have undergone considerable improvement in past years. Many
special techniques and hardware devices were developed, but the crucial
breakthrough came with the spread of intelligent mobile phones. This enabled
mass spread of augmented reality applications. However mobile devices have
limited hardware capabilities, which narrows down the methods usable for scene
analysis. In this article we propose an augmented reality application which is
using cloud computing to enable using of more complex computational methods
such as neural networks. Our goal is to create an affordable augmented reality
application suitable which will help car designers in by 'virtualizing' car
modifications.","['David Prochazka', 'Michael Stencl', 'Ondrej Popelka', 'Jiri Stastny']",2011-06-28T06:08:38Z,http://arxiv.org/abs/1106.5571v1,"['cs.CV', 'H.5.1']"
Augmentix -- An Augmented Reality System for asymmetric Teleteaching,"Using augmented reality in education is already a common concept, as it has
the potential to turn learning into a motivational learning experience.
However, current research only covers the students site of learning. Almost no
research focuses on the teachers' site and whether augmented reality could
potentially improve his/her workflow of teaching the students or not. Many
researchers do not differentiate between multiple user roles, like a student
and a teacher. To allow investigation into these lacks of research, a teaching
system ""Augmentix"" is presented, which includes a differentiation between the
two user roles ""teacher"" and ""student"" to potentially enhances the teachers
workflow by using augmented reality. In this system's setting the student can
explore a virtual city in virtual reality and the teacher can guide him with
augmented reality.",['Nico Feld'],2021-01-07T14:43:51Z,http://arxiv.org/abs/2101.02565v1,['cs.HC']
"Using Blippar Augmented Reality Browser in the Practical Training of
  Mechanical Engineers","The purpose of the study is to justify the expediency of using the Blippar
augmented reality browser for professional and practical training of future
mechanical engineers. Tasks of the research: to analyze the expediency of using
augmented reality tools in the professional training of bachelors of applied
mechanics; to carry out the selection of augmented reality tools, which is
expedient to use in the training of future engineer mechanics; to develop
educational materials using the chosen augmented reality tools. The object of
the study is the professional training of future mechanical engineers. The
subject of the study is the use of the augmented reality tools in the
professional training of bachelors of applied mechanics. The paper analyzes the
relevance and expediency of the use of the augmented reality tools in the
professional training of future mechanical engineers. It is determined that the
augmented reality tools will promote the development of ICT competence and
graphic competence of bachelors of applied mechanics The model of the use of
the augmented reality tools in the training of future mechanical engineers is
proposed. As the main tool, the Blippar browser and Blippbuilder's cloud-based
script development tool are chosen. An example of the creation of markers and
scenes of augmented reality using the selected tools is given. The advantages
and disadvantages of used tools are indicated. The proposed learning tools and
methods can be applied to vocational and practical training of mechanical
engineers.","['Andrii Striuk', 'Maryna Rassovytska', 'Svitlana Shokaliuk']",2018-07-01T06:51:23Z,http://arxiv.org/abs/1807.00279v1,['cs.CY']
"Augmented reality applications in manufacturing and its future scope in
  Industry 4.0","Augmented reality technology is one of the leading technologies in the
context of Industry 4.0. The promising potential application of augmented
reality in industrial production systems has received much attention, which led
to the concept of industrial augmented reality. On the one hand, this
technology provides a suitable platform that facilitates the registration of
information and access to them to help make decisions and allows concurrent
training for the user while executing the production processes. This leads to
increased work speed and accuracy of the user as a process operator and
consequently offers economic benefits to the companies. Moreover, recent
advances in the internet of things, smart sensors, and advanced algorithms have
increased the possibility of widespread and more effective use of augmented
reality. Currently, many research pieces are being done to expand the
application of augmented reality and increase its effectiveness in industrial
production processes. This research demonstrates the influence of augmented
reality in Industry 4.0 while critically reviewing the industrial augmented
reality history. Afterward, the paper discusses the critical role of industrial
augmented reality by analyzing some use cases and their prospects. With a
systematic analysis, this paper discusses the main future directions for
industrial augmented reality applications in industry 4.0. The article
investigates various areas of application for this technology and its impact on
improving production conditions. Finally, the challenges that this technology
faces and its research opportunities are discussed.","['Omid Ziaee', 'Mohsen Hamedi']",2021-12-03T20:46:50Z,http://arxiv.org/abs/2112.11190v1,['cs.CY']
Augmented Reality Implementation Methods in Mainstream Applications,"Augmented reality has became an useful tool in many areas from space
exploration to military applications. Although used theoretical principles are
well known for almost a decade, the augmented reality is almost exclusively
used in high budget solutions with a special hardware. However, in last few
years we could see rising popularity of many projects focused on deployment of
the augmented reality on different mobile devices. Our article is aimed on
developers who consider development of an augmented reality application for the
mainstream market. Such developers will be forced to keep the application
price, therefore also the development price, at reasonable level. Usage of
existing image processing software library could bring a significant cut-down
of the development costs. In the theoretical part of the article is presented
an overview of the augmented reality application structure. Further, an
approach for selection appropriate library as well as the review of the
existing software libraries focused in this area is described. The last part of
the article outlines our implementation of key parts of the augmented reality
application using the OpenCV library.","['David Prochazka', 'Tomas Koubek']",2011-06-28T05:57:37Z,http://arxiv.org/abs/1106.5569v1,"['cs.CV', 'H.5.1']"
"Using technology of augmented reality in a mobile-based learning
  environment of the higher educational institution","The definition of the augmented reality concept is based on the analysis of
scientific publications. It is noted that online experiments with augmented
reality provide students with the opportunity to observe and describe the
operation with real systems by changing their parameters, and also partially
replace experimental installations with objects of augmented reality. The
scheme for realizing the augmented reality is considered. The possibilities of
working with augmented reality objects in teaching physics is highlighted. It
is indicated that the use of the augmented reality tools allows to increase the
realness of the research; provides emotional and cognitive experience, helps
attract students to systematic training; provides correct information about the
installation in the process of experimentation; creates new ways of
representing real objects in the learning process.","['Yevhenii O. Modlo', 'Yuliia V. Yechkalo', 'Serhiy O. Semerikov', 'Viktoriia V. Tkachuk']",2018-07-23T12:36:54Z,http://arxiv.org/abs/1807.10659v1,"['physics.ed-ph', 'cs.CY', 'cs.HC', 'K.3.1; H.5.1; I.3.7']"
"A 3D-Deep-Learning-based Augmented Reality Calibration Method for
  Robotic Environments using Depth Sensor Data","Augmented Reality and mobile robots are gaining much attention within
industries due to the high potential to make processes cost and time efficient.
To facilitate augmented reality, a calibration between the Augmented Reality
device and the environment is necessary. This is a challenge when dealing with
mobile robots due to the mobility of all entities making the environment
dynamic. On this account, we propose a novel approach to calibrate the
Augmented Reality device using 3D depth sensor data. We use the depth camera of
a cutting edge Augmented Reality Device - the Microsoft Hololens for deep
learning based calibration. Therefore, we modified a neural network based on
the recently published VoteNet architecture which works directly on the point
cloud input observed by the Hololens. We achieve satisfying results and
eliminate external tools like markers, thus enabling a more intuitive and
flexible work flow for Augmented Reality integration. The results are adaptable
to work with all depth cameras and are promising for further research.
Furthermore, we introduce an open source 3D point cloud labeling tool, which is
to our knowledge the first open source tool for labeling raw point cloud data.","['Linh Kästner', 'Vlad Catalin Frasineanu', 'Jens Lambrecht']",2019-12-27T13:56:13Z,http://arxiv.org/abs/1912.12101v1,"['cs.CV', 'cs.LG', 'cs.RO']"
"SelectVisAR: Selective Visualisation of Virtual Environments in
  Augmented Reality","When establishing a visual connection between a virtual reality user and an
augmented reality user, it is important to consider whether the augmented
reality user faces a surplus of information. Augmented reality, compared to
virtual reality, involves two, not one, planes of information: the physical and
the virtual. We propose SelectVisAR, a selective visualisation system of
virtual environments in augmented reality. Our system enables an augmented
reality spectator to perceive a co-located virtual reality user in the context
of four distinct visualisation conditions: Interactive, Proximity, Everything,
and Dollhouse. We explore an additional two conditions, Context and Spotlight,
in a follow-up study. Our design uses a human-centric approach to information
filtering, selectively visualising only parts of the virtual environment
related to the interactive possibilities of a virtual reality user. The
research investigates how selective visualisations can be helpful or trivial
for the augmented reality user when observing a virtual reality user.","['Robbe Cools', 'Jihae Han', 'Adalberto L. Simeone']",2021-04-17T15:47:48Z,http://arxiv.org/abs/2104.08579v2,['cs.HC']
A Survey of Augmented Reality Navigation,"Navigation has been a popular area of research in both academia and industry.
Combined with maps, and different localization technologies, navigation systems
have become robust and more usable. By combining navigation with augmented
reality, it can be improved further to become realistic and user friendly. This
paper surveys existing researches carried out in this area, describes existing
techniques for building augmented reality navigation systems, and the problems
faced.",['Gaurav Bhorkar'],2017-08-16T09:40:53Z,http://arxiv.org/abs/1708.05006v1,['cs.HC']
