title,summary,authors,published,link,category,JAsummary
InAR:Inverse Augmented Reality,"Augmented reality is the art to seamlessly fuse virtual objects into real ones. In this short note, we address the opposite problem, the inverse augmented reality, that is, given a perfectly augmented reality scene where human is unable to distinguish real objects from virtual ones, how the machine could help do the job. We show by structure from motion (SFM), a simple 3D reconstruction technique from images in computer vision, the real and virtual objects can be easily separated in the reconstructed 3D scene.","['Hao Hu', 'Hainan Cui']",2015-08-11T14:17:28Z,http://arxiv.org/abs/1508.02606v1,['cs.CV'],拡張現実とは、仮想物体を現実の物体にシームレスに融合させる技術である。この短いノートでは、逆の問題、つまり、人間が現実のオブジェクトと仮想のオブジェクトを区別できないような、完全に拡張された現実のシーンが与えられた場合に、機械がどのようにその仕事を助けることができるかを取り上げる。我々は、コンピュータビジョンにおける画像からの簡単な3D再構成技術である動きからの構造（SFM）により、再構成された3Dシーンにおいて実オブジェクトと仮想オブジェクトを容易に分離できることを示す。
Tollan-Xicocotitlan: A reconstructed City by augmented reality,"This project presents the analysis, design, implementation and results of Reconstruction Xicocotitlan Tollan-through augmented reality, which will release information about the Toltec culture supplemented by presenting an overview of the main premises of the Xicocotitlan Tollan city supported dimensional models based on the augmented reality technique showing the user a virtual representation of buildings in Tollan.","['Martha Rosa Cordero Lopez', 'Marco Antonio Dorantes Gonzalez']",2014-06-19T18:57:03Z,http://arxiv.org/abs/1406.5151v1,"['cs.CE', 'cs.CY']",このプロジェクトは、キシコティトラン・トラン市の主要な敷地の概要を提示することによって補足されたトルテック文化に関する情報を公開する、拡張現実を通した復興キシコティトラン・トラン市の分析、設計、実施、およびその結果を提示するもので、拡張現実技術に基づく次元モデルをサポートし、ユーザーにトランの建物の仮想表現を示す。
"Towards Safer Robot-Assisted Surgery: A Markerless Augmented Reality
  Framework","Robot-assisted surgery is rapidly developing in the medical field, and the integration of augmented reality shows the potential of improving the surgeons' operation performance by providing more visual information. In this paper, we proposed a markerless augmented reality framework to enhance safety by avoiding intra-operative bleeding which is a high risk caused by the collision between the surgical instruments and the blood vessel. Advanced stereo reconstruction and segmentation networks are compared to find out the best combination to reconstruct the intra-operative blood vessel in the 3D space for the registration of the pre-operative model, and the minimum distance detection between the instruments and the blood vessel is implemented. A robot-assisted lymphadenectomy is simulated on the da Vinci Research Kit in a dry lab, and ten human subjects performed this operation to explore the usability of the proposed framework. The result shows that the augmented reality framework can help the users to avoid the dangerous collision between the instruments and the blood vessel while not introducing an extra load. It provides a flexible framework that integrates augmented reality into the medical robot platform to enhance safety during the operation.","['Ziyang Chen', 'Laura Cruciani', 'Ke Fan', 'Matteo Fontana', 'Elena Lievore', 'Ottavio De Cobelli', 'Gennaro Musi', 'Giancarlo Ferrigno', 'Elena De Momi']",2023-09-14T13:13:46Z,http://arxiv.org/abs/2309.07693v1,['cs.RO'],ロボット支援手術は医療分野で急速に発展しており，拡張現実感との融合は，より多くの視覚情報を提供することで外科医の手術パフォーマンスを向上させる可能性を示している．本論文では、手術器具と血管の衝突によって生じる高いリスクである術中出血を回避し、安全性を高めるために、マーカーレス拡張現実フレームワークを提案する。高度なステレオ再構成ネットワークとセグメンテーションネットワークを比較し，術前モデルを登録するための3次元空間で術中血管を再構成するための最適な組み合わせを見つけ，器具と血管間の最小距離検出を実装する．ドライラボでダヴィンチリサーチキットを用いてロボット支援リンパ節切除術のシミュレーションを行い，10人の被験者がこの手術を行い，提案したフレームワークの使いやすさを検討した．その結果、拡張現実フレームワークは、余分な負荷をかけずに、器具と血管の危険な衝突を回避するのに役立つことがわかった。手術中の安全性を高めるために、拡張現実を医療ロボットプラットフォームに統合する柔軟なフレームワークを提供する。
City Planning with Augmented Reality,"We present an early study designed to analyze how city planning and the health of senior citizens can benefit from the use of augmented reality (AR) using Microsoft's HoloLens. We also explore whether AR and VR can be used to help city planners receive real-time feedback from citizens, such as the elderly, on virtual plans, allowing for informed decisions to be made before any construction begins.","['Catherine Angelini', 'Adam S. Williams', 'Mathew Kress', 'Edgar Ramos Vieira', ""Newton D'Souza"", 'Naphtali D. Rishe', 'Joseph Medina', 'Francisco R. Ortega']",2020-01-18T02:22:45Z,http://arxiv.org/abs/2001.06578v1,['cs.HC'],我々は、マイクロソフトのHoloLensを使用した拡張現実（AR）の使用によって、都市計画と高齢者の健康がどのように恩恵を受けるかを分析するために設計された初期の研究を発表する。また、ARとVRを使用して、都市計画者が高齢者などの市民から仮想計画に関するリアルタイムのフィードバックを受け、建設が始まる前に十分な情報に基づいた意思決定を行うことができるかどうかを調査する。
Real-time Geometry-Aware Augmented Reality in Minimally Invasive Surgery,"The potential of Augmented Reality (AR) technology to assist minimally invasive surgeries (MIS) lies in its computational performance and accuracy in dealing with challenging MIS scenes. Even with the latest hardware and software technologies, achieving both real-time and accurate augmented information overlay in MIS is still a formidable task. In this paper, we present a novel real-time AR framework for MIS that achieves interactive geometric aware augmented reality in endoscopic surgery with stereo views. Our framework tracks the movement of the endoscopic camera and simultaneously reconstructs a dense geometric mesh of the MIS scene. The movement of the camera is predicted by minimising the re-projection error to achieve a fast tracking performance, while the 3D mesh is incrementally built by a dense zero mean normalised cross correlation stereo matching method to improve the accuracy of the surface reconstruction. Our proposed system does not require any prior template or pre-operative scan and can infer the geometric information intra-operatively in real-time. With the geometric information available, our proposed AR framework is able to interactively add annotations, localisation of tumours and vessels, and measurement labelling with greater precision and accuracy compared with the state of the art approaches.","['Long Chen', 'Wen Tang', 'Nigel W. John']",2017-08-03T17:25:38Z,http://arxiv.org/abs/1708.01234v1,['cs.CV'],低侵襲手術(MIS)を支援する拡張現実(AR)技術の可能性は、困難なMISシーンを扱う際の計算性能と精度にある。最新のハードウェアおよびソフトウェア技術を駆使しても、MISにおいてリアルタイムかつ正確な拡張情報のオーバーレイを実現することは、依然として困難な課題である。本論文では、ステレオビューを用いた内視鏡手術において、インタラクティブな幾何学的認識による拡張現実感を実現する、MISのための新しいリアルタイムARフレームワークを紹介する。我々のフレームワークは、内視鏡カメラの動きを追跡し、同時にMISシーンの高密度な幾何学的メッシュを再構成する。カメラの動きは再投影誤差を最小化することによって予測され、高速な追跡性能を達成する。一方、3Dメッシュは、表面再構成の精度を向上させるために、密なゼロ平均正規化相互相関ステレオマッチング法によって漸進的に構築される。我々の提案するシステムは、事前のテンプレートや術前スキャンを必要とせず、リアルタイムで術中に幾何学的情報を推論することができる。利用可能な幾何学的情報により、我々の提案するARフレームワークは、最新のアプローチと比較して、より高い精度と正確さで、注釈、腫瘍と血管の位置特定、および測定値ラベリングをインタラクティブに追加することができる。
Surgical navigation systems based on augmented reality technologies,"This study considers modern surgical navigation systems based on augmented reality technologies. Augmented reality glasses are used to construct holograms of the patient's organs from MRI and CT data, subsequently transmitted to the glasses. This, in addition to seeing the actual patient, the surgeon gains visualization inside the patient's body (bones, soft tissues, blood vessels, etc.). The solutions developed at Peter the Great St. Petersburg Polytechnic University allow reducing the invasiveness of the procedure and preserving healthy tissues. This also improves the navigation process, making it easier to estimate the location and size of the tumor to be removed. We describe the application of developed systems to different types of surgical operations (removal of a malignant brain tumor, removal of a cyst of the cervical spine). We consider the specifics of novel navigation systems designed for anesthesia, for endoscopic operations. Furthermore, we discuss the construction of novel visualization systems for ultrasound machines. Our findings indicate that the technologies proposed show potential for telemedicine.","['Vladimir Ivanov', 'Anton Krivtsov', 'Sergey Strelkov', 'Dmitry Gulyaev', 'Denis Godanyuk', 'Nikolay Kalakutsky', 'Artyom Pavlov', 'Marina Petropavloskaya', 'Alexander Smirnov', 'Andrew Yaremenko']",2021-05-13T11:09:12Z,http://arxiv.org/abs/2106.00727v1,['cs.HC'],この研究では、拡張現実（AR）技術に基づく最新の手術ナビゲーション・システムについて考察する。拡張現実メガネは、MRIやCTデータから患者の臓器のホログラムを構築するために使用され、その後メガネに転送される。これにより、実際の患者を見るだけでなく、外科医は患者の体内（骨、軟部組織、血管など）を視覚化することができる。サンクトペテルブルク工科大学で開発されたソリューションにより、手術の侵襲を減らし、健康な組織を保存することができる。また、ナビゲーション・プロセスも改善され、切除する腫瘍の位置や大きさの推定が容易になる。開発されたシステムの様々なタイプの外科手術（悪性脳腫瘍の摘出、頸椎嚢胞の摘出）への応用について述べる。また、麻酔や内視鏡手術のために設計された新しいナビゲーション・システムの詳細について考察する。さらに、超音波装置のための新しい可視化システムの構築についても議論する。我々の発見は、提案された技術が遠隔医療に可能性を示すことを示している。
"Augmented Reality Applied to LEGO Construction: AR-based Building
  Instructions with High Accuracy & Precision and Realistic Object-Hand
  Occlusions","BRICKxAR is a novel Augmented Reality (AR) instruction method for construction toys such as LEGO. With BRICKxAR, physical LEGO construction is guided by virtual bricks. Compared with the state-of-the-art, accuracy of the virtual - physical model alignment is significantly improved through a new design of marker-based registration, which can achieve an average error less than 1mm throughout the model. Realistic object occlusion is accomplished to reveal the true spatial relationship between physical and virtual bricks. LEGO players' hand detection and occlusion are realized to visualize the correct spatial relationship between real hands and virtual bricks, and allow virtual bricks to be ""grasped"" by real hands. The integration of these features makes AR instructions possible for small-parts assembly, validated through a working AR prototype for constructing LEGO Arc de Triomphe, quantitative measures of the accuracies of registration and occlusions, and heuristic evaluation of AR instruction features.",['Wei Yan'],2019-07-29T17:44:14Z,http://arxiv.org/abs/1907.12549v4,"['cs.HC', 'cs.CY', 'H.5.1; J.6']",BRICKxARは、レゴのような建設玩具のための新しい拡張現実（AR）指導法である。BRICKxARでは、物理的なレゴの組み立てが仮想ブロックによってガイドされる。最先端技術と比較すると、仮想モデルと物理モデルの位置合わせの精度は、マーカーベースのレジストレーションの新設計によって大幅に向上しており、モデル全体の平均誤差は1mm未満を達成しています。物理レンガと仮想レンガの間の真の空間関係を明らかにするために、リアルなオブジェクトのオクルージョンが実現されている。LEGOプレイヤーの手の検出とオクルージョンを実現し、本物の手とバーチャル・ブロックの正しい空間関係を視覚化し、バーチャル・ブロックを本物の手で「つかむ」ことを可能にする。これらの機能の統合により、レゴ凱旋門を組み立てるための実用的なARプロトタイプ、登録とオクルージョンの精度の定量的測定、およびAR指示機能の発見的評価を通じて検証された、小さな部品の組み立てのためのAR指示が可能になる。
Augmented Reality for Depth Cues in Monocular Minimally Invasive Surgery,"One of the major challenges in Minimally Invasive Surgery (MIS) such as laparoscopy is the lack of depth perception. In recent years, laparoscopic scene tracking and surface reconstruction has been a focus of investigation to provide rich additional information to aid the surgical process and compensate for the depth perception issue. However, robust 3D surface reconstruction and augmented reality with depth perception on the reconstructed scene are yet to be reported. This paper presents our work in this area. First, we adopt a state-of-the-art visual simultaneous localization and mapping (SLAM) framework - ORB-SLAM - and extend the algorithm for use in MIS scenes for reliable endoscopic camera tracking and salient point mapping. We then develop a robust global 3D surface reconstruction frame- work based on the sparse point clouds extracted from the SLAM framework. Our approach is to combine an outlier removal filter within a Moving Least Squares smoothing algorithm and then employ Poisson surface reconstruction to obtain smooth surfaces from the unstructured sparse point cloud. Our proposed method has been quantitatively evaluated compared with ground-truth camera trajectories and the organ model surface we used to render the synthetic simulation videos. In vivo laparoscopic videos used in the tests have demonstrated the robustness and accuracy of our proposed framework on both camera tracking and surface reconstruction, illustrating the potential of our algorithm for depth augmentation and depth-corrected augmented reality in MIS with monocular endoscopes.","['Long Chen', 'Wen Tang', 'Nigel W. John', 'Tao Ruan Wan', 'Jian Jun Zhang']",2017-03-01T18:01:52Z,http://arxiv.org/abs/1703.01243v1,['cs.CV'],腹腔鏡手術のような低侵襲手術（MIS）における大きな課題の一つは、奥行き知覚の欠如である。近年、腹腔鏡下シーントラッキングと表面再構成は、手術プロセスを支援し、奥行き知覚の問題を補うための豊富な追加情報を提供するための研究の焦点となっている。しかし、ロバストな3D表面再構成や、再構成されたシーン上での奥行き知覚を伴う拡張現実感については、まだ報告されていない。本稿では、この分野における我々の研究を紹介する。まず、我々は最先端の視覚的同時定位マッピング（SLAM）フレームワークであるORB-SLAMを採用し、信頼性の高い内視鏡カメラトラッキングとサリエントポイントマッピングのために、MISシーンで使用できるようにアルゴリズムを拡張する。次に、SLAMフレームワークから抽出された疎な点群に基づいて、ロバストなグローバル3D表面再構成フレームワークを開発する。我々のアプローチは、移動最小二乗平滑化アルゴリズムに外れ値除去フィルターを組み合わせ、非構造化疎な点群から滑らかな表面を得るためにポアソン表面再構成を採用することである。我々の提案する方法は、グラウンドトゥルースのカメラ軌道と、合成シミュレーションビデオのレンダリングに使用した臓器モデル表面と比較して定量的に評価された。テストに使用された生体内腹腔鏡映像は、カメラトラッキングと表面再構成の両方において、我々の提案するフレームワークの頑健性と精度を実証し、単眼内視鏡を用いたMISにおける深度拡張と深度補正された拡張現実感のための我々のアルゴリズムの可能性を示している。
"Exploring Stereovision-Based 3-D Scene Reconstruction for Augmented
  Reality","Three-dimensional (3-D) scene reconstruction is one of the key techniques in Augmented Reality (AR), which is related to the integration of image processing and display systems of complex information. Stereo matching is a computer vision based approach for 3-D scene reconstruction. In this paper, we explore an improved stereo matching network, SLED-Net, in which a Single Long Encoder-Decoder is proposed to replace the stacked hourglass network in PSM-Net for better contextual information learning. We compare SLED-Net to state-of-the-art methods recently published, and demonstrate its superior performance on Scene Flow and KITTI2015 test sets.","['Guang-Yu Nie', 'Yun Liu', 'Cong Wang', 'Yue Liu', 'Yongtian Wang']",2019-02-17T13:09:16Z,http://arxiv.org/abs/1902.06255v1,['cs.CV'],3次元（3-D）シーンの再構成は、複雑な情報の画像処理と表示システムの統合に関連する拡張現実（AR）における重要な技術の1つである。ステレオマッチングは、3次元シーン再構成のためのコンピュータビジョンに基づくアプローチである。本論文では、改良型ステレオマッチングネットワークであるSLED-Netを検討する。SLED-Netでは、PSM-Netのスタック型砂時計ネットワークに代わり、Single Long Encoder-Decoderを提案し、より良い文脈情報学習を実現する。SLED-Netを最近発表された最新の手法と比較し、Scene FlowとKITTI2015テストセットでその優れた性能を実証する。
"Occluded object reconstruction for first responders with augmented
  reality glasses using conditional generative adversarial networks","Firefighters suffer a variety of life-threatening risks, including line-of-duty deaths, injuries, and exposures to hazardous substances. Support for reducing these risks is important. We built a partially occluded object reconstruction method on augmented reality glasses for first responders. We used a deep learning based on conditional generative adversarial networks to train associations between the various images of flammable and hazardous objects and their partially occluded counterparts. Our system then reconstructed an image of a new flammable object. Finally, the reconstructed image was superimposed on the input image to provide ""transparency"". The system imitates human learning about the laws of physics through experience by learning the shape of flammable objects and the flame characteristics.","['Kyongsik Yun', 'Thomas Lu', 'Edward Chow']",2018-04-20T23:56:10Z,http://arxiv.org/abs/1805.00322v1,"['cs.CV', 'cs.LG']",消防士は、任務中の死亡、負傷、危険物質への曝露など、生命を脅かすさまざまなリスクに苦しんでいる。これらのリスクを軽減するための支援は重要である。我々は、救急隊員のために、拡張現実メガネ上で部分的に隠蔽されたオブジェクトの再構成手法を構築した。条件付き生成敵対的ネットワークに基づくディープラーニングを用いて、可燃性物体や危険物体の様々な画像と、部分的に隠された対応物体の間の関連付けを訓練した。その後、我々のシステムは新しい可燃性物体の画像を再構成した。最後に、再構成された画像を入力画像に重ね合わせ、「透明性」を提供した。このシステムは、可燃性物体の形状と炎の特性を学習することにより、経験を通じて物理法則を学習する人間を模倣する。
