title,summary,authors,published,link,category,keywords
Navigating a maze differently - a user study,"Navigating spaces is an embodied experience. Examples can vary from rescue
workers trying to save people from natural disasters; a tourist finding their
way to the nearest coffee shop, or a gamer solving a maze. Virtual reality
allows these experiences to be simulated in a controlled virtual environment.
However, virtual reality users remain anchored in the real world and the
conventions by which the virtual environment is deployed influence user
performance. There is currently a need to evaluate the degree of influence
imposed by extrinsic factors and virtual reality hardware on its users.
Traditionally, virtual reality experiences have been deployed using
Head-Mounted Displays with powerful computers rendering the graphical content
of the virtual environment; however, user input has been facilitated using an
array of human interface devices including Keyboards, Mice, Trackballs,
Touchscreens, Joysticks, Gamepads, Motion detecting cameras and Webcams. Some
of these HIDs have also been introduced for non-immersive video games and
general computing. Due to this fact, a subset of virtual reality users has
greater familiarity than others in using these HIDs. Virtual reality
experiences that utilize gamepads (controllers) to navigate virtual
environments may introduce a bias towards usability among virtual reality users
previously exposed to video-gaming.
  This article presents an evaluative user study conducted using our ubiquitous
virtual reality framework with general audiences. Among our findings, we reveal
a usability bias among virtual reality users who are predominantly video
gamers. Beyond this, we found a statistical difference in user behavior between
untethered immersive virtual reality experiences compared to untethered
non-immersive virtual reality experiences.","['Aryabrata Basu', 'Kyle Johnsen']",2018-05-23T23:41:42Z,http://arxiv.org/abs/1805.09454v4,['cs.HC'],"Virtual reality,User study,User performance,Human interface devices,Gamepads,Immersive virtual reality,Non-immersive virtual reality,Usability bias,User behavior,Virtual environment"
Immersion Metrics for Virtual Reality,"Technological advances in recent years have promoted the development of
virtual reality systems that have a wide variety of hardware and software
characteristics, providing varying degrees of immersion. Immersion is an
objective property of the virtual reality system that depends on both its
hardware and software characteristics. Virtual reality systems are currently
attempting to improve immersion as much as possible. However, there is no
metric to measure the level of immersion of a virtual reality system based on
its characteristics. To date, the influence of these hardware and software
variables on immersion has only been considered individually or in small
groups. The way these system variables simultaneously affect immersion has not
been analyzed either. In this paper, we propose immersion metrics for virtual
reality systems based on their hardware and software variables, as well as the
development process that led to their formulation. From the conducted
experiment and the obtained data, we followed a methodology to find immersion
models based on the variables of the system. The immersion metrics presented in
this work offer a useful tool in the area of virtual reality and immersive
technologies, not only to measure the immersion of any virtual reality system
but also to analyze the relationship and importance of the variables of these
systems.","['Matias N. Selzer', 'Silvia M. Castro']",2022-06-15T18:21:28Z,http://arxiv.org/abs/2206.07748v1,"['cs.HC', 'cs.GR']","virtual reality,immersion,metrics,hardware,software characteristics,development process,experiment,variables,immersion models,immersive technologies"
"Symmetrical Reality: Toward a Unified Framework for Physical and Virtual
  Reality","In this paper, we review the background of physical reality, virtual reality,
and some traditional mixed forms of them. Based on the current knowledge, we
propose a new unified concept called symmetrical reality to describe the
physical and virtual world in a unified perspective. Under the framework of
symmetrical reality, the traditional virtual reality, augmented reality,
inverse virtual reality, and inverse augmented reality can be interpreted using
a unified presentation. We analyze the characteristics of symmetrical reality
from two different observation locations (i.e., from the physical world and
from the virtual world), where all other forms of physical and virtual reality
can be treated as special cases of symmetrical reality.","['Zhenliang Zhang', 'Cong Wang', 'Dongdong Weng', 'Yue Liu', 'Yongtian Wang']",2019-03-07T04:29:50Z,http://arxiv.org/abs/1903.02723v1,['cs.HC'],"physical reality,virtual reality,mixed reality,symmetrical reality,unified framework,augmented reality,inverse virtual reality,observation locations"
The concept of strong and weak virtual reality,"We approach the virtual reality phenomenon by studying its relationship to
set theory, and we investigate the case where this is done using the
wellfoundedness property of sets. Our hypothesis is that non-wellfounded sets
(hypersets) give rise to a different quality of virtual reality than do
familiar wellfounded sets. We initially provide an alternative approach to
virtual reality based on Sommerhoff's idea of first and second order
self-awareness; both categories of self-awareness are considered as necessary
conditions for consciousness in terms of higher cognitive functions. We then
introduce a representation of first and second order self-awareness through
sets, and assume that these sets, which we call events, originally form a
collection of wellfounded sets. Strong virtual reality characterizes virtual
reality environments which have the limited capacity to create only events
associated with wellfounded sets. In contrast, the more general concept of weak
virtual reality characterizes collections of virtual reality mediated events
altogether forming an entirety larger than any collection of wellfounded sets.
By giving reference to Aczel's hyperset theory we indicate that this definition
is not empty, because hypersets encompass wellfounded sets already. Moreover,
we argue that weak virtual reality could be realized in human history through
continued progress in computer technology. Finally, we reformulate our
characterization into a more general framework, and use Baltag's Structural
Theory of Sets (STS) to show that within this general hyperset theory
Sommerhoff's first and second order self-awareness as well as both concepts of
virtual reality admit a consistent mathematical representation.",['A. M. Lisewski'],2003-11-29T14:08:56Z,http://arxiv.org/abs/cs/0312001v3,"['cs.LO', 'nlin.AO', 'physics.comp-ph', 'F.4.1; I.2.4; H.1.2; H.5.1']","virtual reality,set theory,wellfounded sets,hypersets,self-awareness,consciousness,cognitive functions,events,strong virtual reality,weak virtual reality"
Virtual Reality: A Definition History - A Personal Essay,"This essay, written in 1998 by an active participant in both virtual reality
development and the virtual reality definition debate, discusses the definition
of the phrase ""Virtual Reality"" (VR). I start with history from a personal
perspective, concentrating on the debate between the ""Virtual Reality"" and
""Virtual Environment"" labels in the late 1980's and early 1990's. Definitions
of VR based on specific technologies are shown to be unsatisfactory. I propose
the following definition of VR, based on the striking effects of a good VR
system: ""Virtual Reality is the use of computer technology to create the effect
of an interactive three-dimensional world in which the objects have a sense of
spatial presence."" The justification for this definition is discussed in
detail, and is favorably compared with the dictionary definitions of ""virtual""
and ""reality"". The implications of this definition for virtual reality
technology are briefly examined.",['Steve Bryson'],2013-12-16T11:33:06Z,http://arxiv.org/abs/1312.4322v1,['cs.HC'],"Virtual Reality,Definition,History,Debate,Virtual Environment,Computer Technology,Interactive,Three-dimensional,Spatial Presence,Technology"
The virtual reality framework for engineering objects,"A framework for virtual reality of engineering objects has been developed.
This framework may simulate different equipment related to virtual reality.
Framework supports 6D dynamics, ordinary differential equations, finite
formulas, vector and matrix operations. The framework also supports embedding
of external software.","['Petr R. Ivankov', 'Nikolay P. Ivankov']",2006-12-22T19:19:41Z,http://arxiv.org/abs/cs/0612126v1,"['cs.CE', 'cs.MS', 'J.9']","virtual reality,engineering objects,framework,simulation,6D dynamics,ordinary differential equations,finite formulas,vector operations,matrix operations,external software"
DiVRsify: Break the Cycle and Develop VR for Everyone,"Virtual reality technology is biased. It excludes approximately 95% the
world's population by being primarily designed for male, western, educated,
industrial, rich, and democratic populations. This bias may be due to the lack
of diversity in virtual reality researchers, research participants, developers,
and end users, fueling a noninclusive research, development, and usability
cycle. The objective of this paper is to highlight the minimal virtual reality
research involving understudied populations with respect to dimensions of
diversity, such as gender, race, culture, ethnicity, age, disability, and
neurodivergence. Specifically, we highlight numerous differences in virtual
reality usability between underrepresented groups compared to commonly studied
populations. These differences illustrate the lack of generalizability of prior
virtual reality research. Lastly, we present a call to action with the aim
that, over time, will break the cycle and enable virtual reality for everyone.","['Tabitha C. Peck', 'Kyla McMullen', 'John Quarles']",2021-10-01T15:51:59Z,http://arxiv.org/abs/2110.00497v1,['cs.HC'],"virtual reality technology,bias,diversity,research,populations,gender,race,culture,ethnicity,usability"
The Physical World as a Virtual Reality,"This paper explores the idea that the universe is a virtual reality created
by information processing, and relates this strange idea to the findings of
modern physics about the physical world. The virtual reality concept is
familiar to us from online worlds, but our world as a virtual reality is
usually a subject for science fiction rather than science. Yet logically the
world could be an information simulation running on a multi-dimensional
space-time screen. Indeed, if the essence of the universe is information,
matter, charge, energy and movement could be aspects of information, and the
many conservation laws could be a single law of information conservation. If
the universe were a virtual reality, its creation at the big bang would no
longer be paradoxical, as every virtual system must be booted up. It is
suggested that whether the world is an objective reality or a virtual reality
is a matter for science to resolve. Modern information science can suggest how
core physical properties like space, time, light, matter and movement could
derive from information processing. Such an approach could reconcile relativity
and quantum theories, with the former being how information processing creates
space-time, and the latter how it creates energy and matter.",['Brian Whitworth'],2008-01-02T05:04:27Z,http://arxiv.org/abs/0801.0337v2,['cs.OH'],"virtual reality,information processing,modern physics,universe,information simulation,multi-dimensional space-time,conservation laws,big bang,information science,relativity"
"Improved AdaBoost for Virtual Reality Experience Prediction Based on
  Long Short-Term Memory Network","A classification prediction algorithm based on Long Short-Term Memory Network
(LSTM) improved AdaBoost is used to predict virtual reality (VR) user
experience. The dataset is randomly divided into training and test sets in the
ratio of 7:3.During the training process, the model's loss value decreases from
0.65 to 0.31, which shows that the model gradually reduces the discrepancy
between the prediction results and the actual labels, and improves the accuracy
and generalisation ability.The final loss value of 0.31 indicates that the
model fits the training data well, and is able to make predictions and
classifications more accurately. The confusion matrix for the training set
shows a total of 177 correct predictions and 52 incorrect predictions, with an
accuracy of 77%, precision of 88%, recall of 77% and f1 score of 82%. The
confusion matrix for the test set shows a total of 167 correct and 53 incorrect
predictions with 75% accuracy, 87% precision, 57% recall and 69% f1 score. In
summary, the classification prediction algorithm based on LSTM with improved
AdaBoost shows good prediction ability for virtual reality user experience.
This study is of great significance to enhance the application of virtual
reality technology in user experience. By combining LSTM and AdaBoost
algorithms, significant progress has been made in user experience prediction,
which not only improves the accuracy and generalisation ability of the model,
but also provides useful insights for related research in the field of virtual
reality. This approach can help developers better understand user requirements,
optimise virtual reality product design, and enhance user satisfaction,
promoting the wide application of virtual reality technology in various fields.","['Wenhan Fan', 'Zhicheng Ding', 'Ruixin Huang', 'Chang Zhou', 'Xuyang Zhang']",2024-05-17T03:47:30Z,http://arxiv.org/abs/2405.10515v1,['cs.LG'],"AdaBoost,Long Short-Term Memory Network,prediction algorithm,virtual reality,user experience,dataset,training process,confusion matrix,accuracy,precision"
Virtual reality: A human centered tool for improving Manufacturing,"Manufacturing is using Virtual Reality tools to enhance the product life
cycle. Their definitions are still in flux and it is necessary to define their
connections. Thus, firstly, we will introduce more closely some definitions
where we will find that, if the Virtual manufacturing concepts originate from
machining operations and evolve in this manufacturing area, there exist a lot
of applications in different fields such as casting, forging, sheet
metalworking and robotics (mechanisms). From the recent projects in Europe or
in USA, we notice that the human perception or the simulation of mannequin is
more and more needed in both fields. In this context, we have isolated some
applications as ergonomic studies, assembly and maintenance simulation, design
or training where the virtual reality tools can be applied. Thus, we find out a
family of applications where the virtual reality tools give the engineers the
main role in the optimization process. We will illustrate our paper by several
examples where virtual reality interfaces are used and combined with
optimization tools as multi-agent systems.","['Fouad Bennis', 'Damien Chablat', 'Philippe Dépincé']",2007-07-24T14:28:01Z,http://arxiv.org/abs/0707.3563v1,['cs.RO'],"Virtual reality,Manufacturing,Product life cycle,Virtual manufacturing,Machining operations,Casting,Forging,Sheet metalworking,Robotics,Human perception"
Deep Learning Development Environment in Virtual Reality,"Virtual reality (VR) offers immersive visualization and intuitive
interaction. We leverage VR to enable any biomedical professional to deploy a
deep learning (DL) model for image classification. While DL models can be
powerful tools for data analysis, they are also challenging to understand and
develop. To make deep learning more accessible and intuitive, we have built a
virtual reality-based DL development environment. Within our environment, the
user can move tangible objects to construct a neural network only using their
hands. Our software automatically translates these configurations into a
trainable model and then reports its resulting accuracy on a test dataset in
real-time. Furthermore, we have enriched the virtual objects with
visualizations of the model's components such that users can achieve insight
about the DL models that they are developing. With this approach, we bridge the
gap between professionals in different fields of expertise while offering a
novel perspective for model analysis and data interaction. We further suggest
that techniques of development and visualization in deep learning can benefit
by integrating virtual reality.","['Kevin C. VanHorn', 'Meyer Zinn', 'Murat Can Cobanoglu']",2019-06-13T20:53:33Z,http://arxiv.org/abs/1906.05925v1,"['cs.LG', 'cs.HC', 'cs.MM', 'stat.ML']","Deep learning,Virtual reality,Biomedical,Image classification,Neural network,Model development,Visualization,Data interaction,Model analysis,Training model"
"SelectVisAR: Selective Visualisation of Virtual Environments in
  Augmented Reality","When establishing a visual connection between a virtual reality user and an
augmented reality user, it is important to consider whether the augmented
reality user faces a surplus of information. Augmented reality, compared to
virtual reality, involves two, not one, planes of information: the physical and
the virtual. We propose SelectVisAR, a selective visualisation system of
virtual environments in augmented reality. Our system enables an augmented
reality spectator to perceive a co-located virtual reality user in the context
of four distinct visualisation conditions: Interactive, Proximity, Everything,
and Dollhouse. We explore an additional two conditions, Context and Spotlight,
in a follow-up study. Our design uses a human-centric approach to information
filtering, selectively visualising only parts of the virtual environment
related to the interactive possibilities of a virtual reality user. The
research investigates how selective visualisations can be helpful or trivial
for the augmented reality user when observing a virtual reality user.","['Robbe Cools', 'Jihae Han', 'Adalberto L. Simeone']",2021-04-17T15:47:48Z,http://arxiv.org/abs/2104.08579v2,['cs.HC'],"Augmented Reality,Virtual Reality,Selective Visualisation,Virtual Environments,Information Filtering"
Security Considerations for Virtual Reality Systems,"There is a growing need for authentication methodology in virtual reality
applications. Current systems assume that the immersive experience technology
is a collection of peripheral devices connected to a personal computer or
mobile device. Hence there is a complete reliance on the computing device with
traditional authentication mechanisms to handle the authentication and
authorization decisions. Using the virtual reality controllers and headset
poses a different set of challenges as it is subject to unauthorized
observation, unannounced to the user given the fact that the headset completely
covers the field of vision in order to provide an immersive experience. As the
need for virtual reality experiences in the commercial world increases, there
is a need to provide other alternative mechanisms for secure authentication. In
this paper, we analyze a few proposed authentication systems and reached a
conclusion that a multidimensional approach to authentication is needed to
address the granular nature of authentication and authorization needs of a
commercial virtual reality applications in the commercial world.","['Karthik Viswanathan', 'Abbas Yazdinejad']",2022-01-07T17:47:09Z,http://arxiv.org/abs/2201.02563v3,"['cs.CR', 'cs.MM']","authentication,virtual reality systems,immersive experience,peripheral devices,computing device,virtual reality controllers,headset,secure authentication,commercial virtual reality applications"
Towards Everyday Virtual Reality through Eye Tracking,"With developments in computer graphics, hardware technology, perception
engineering, and human-computer interaction, virtual reality and virtual
environments are becoming more integrated into our daily lives. Head-mounted
displays, however, are still not used as frequently as other mobile devices
such as smart phones and watches. With increased usage of this technology and
the acclimation of humans to virtual application scenarios, it is possible that
in the near future an everyday virtual reality paradigm will be realized. When
considering the marriage of everyday virtual reality and head-mounted displays,
eye tracking is an emerging technology that helps to assess human behaviors in
a real time and non-intrusive way. Still, multiple aspects need to be
researched before these technologies become widely available in daily life.
Firstly, attention and cognition models in everyday scenarios should be
thoroughly understood. Secondly, as eyes are related to visual biometrics,
privacy preserving methodologies are necessary. Lastly, instead of studies or
applications utilizing limited human participants with relatively homogeneous
characteristics, protocols and use-cases for making such technology more
accessible should be essential. In this work, taking the aforementioned points
into account, a significant scientific push towards everyday virtual reality
has been completed with three main research contributions.",['Efe Bozkir'],2022-03-29T16:09:37Z,http://arxiv.org/abs/2203.15703v1,"['cs.HC', 'cs.AI']","virtual reality,eye tracking,human-computer interaction,head-mounted displays,perception engineering,computer graphics"
