title,summary,authors,published,link,category
Experimental evidence for mixed reality states,"Recently researchers at the University of Illinois coupled a real pendulum to
its virtual counterpart. They observed that the two pendulums suddenly start to
move in synchrony if their lengths are sufficiently close. In this synchronized
state, the boundary between the real system and the virtual system is blurred,
that is, the pendulums are in a mixed reality state. An instantaneous,
bidirectional coupling is a prerequisite for mixed reality states. In this
article we explore the implications of mixed reality states in the context of
controlling real-world systems.","['Alfred Hubler', 'Vadas Gintautas']",2011-03-24T18:50:15Z,http://arxiv.org/abs/1103.4838v1,['physics.class-ph']
"Addressing the Privacy Implications of Mixed Reality: A Regulatory
  Approach","Mixed reality (MR) technologies are emerging into the mainstream with
affordable devices like the Oculus Quest. These devices blend the physical and
virtual in novel ways that blur the lines that exist in legal precedent, like
those between speech and conduct. In this paper, we discuss the challenges of
regulating immersive technologies, focusing on the potential for extensive data
collection, and examine the trade-offs of three potential approaches to
protecting data privacy in the context of mixed reality environments.","['Nicole Shadowen', 'Diane Hosfelt']",2020-07-20T16:35:17Z,http://arxiv.org/abs/2007.10246v1,"['cs.CR', 'cs.CY', 'cs.HC']"
Mixed Reality Interface for Digital Twin of Plant Factory,"An easier and intuitive interface architecture is necessary for digital twin
of plant factory. I suggest an immersive and interactive mixed reality
interface for digital twin models of smart farming, for remote work rather than
simulation of components. The environment is constructed with UI display and a
streaming background scene, which is a real time scene taken from camera device
located in the plant factory, processed with deformable neural radiance fields.
User can monitor and control the remote plant factory facilities with HMD or 2D
display based mixed reality environment. This paper also introduces detailed
concept and describes the system architecture to implement suggested mixed
reality interface.",['Byunghyun Ban'],2022-10-29T01:40:04Z,http://arxiv.org/abs/2211.00597v1,"['cs.HC', 'cs.LG', 'cs.MM', 'H.5.2']"
Multi-layer Visualization for Medical Mixed Reality,"Medical Mixed Reality helps surgeons to contextualize intraoperative data
with video of the surgical scene. Nonetheless, the surgical scene and
anatomical target are often occluded by surgical instruments and surgeon hands.
In this paper and to our knowledge, we propose a multi-layer visualization in
Medical Mixed Reality solution which subtly improves a surgeon's visualization
by making transparent the occluding objects. As an example scenario, we use an
augmented reality C-arm fluoroscope device. A video image is created using a
volumetric-based image synthesization technique and stereo-RGBD cameras mounted
on the C-arm. From this synthesized view, the background which is occluded by
the surgical instruments and surgeon hands is recovered by modifying the
volumetric-based image synthesization technique. The occluding objects can,
therefore, become transparent over the surgical scene. Experimentation with
different augmented reality scenarios yield results demonstrating that the
background of the surgical scenes can be recovered with accuracy between
45%-99%. In conclusion, we presented a solution that a Mixed Reality solution
for medicine, providing transparency to objects occluding the surgical scene.
This work is also the first application of volumetric field for Diminished
Reality/ Mixed Reality.","['Séverine Habert', 'Ma Meng', 'Pascal Fallavollita', 'Nassir Navab']",2017-09-26T12:13:01Z,http://arxiv.org/abs/1709.08962v1,['cs.CV']
"Wish You Were Here: Mental and Physiological Effects of Remote Music
  Collaboration in Mixed Reality","With face-to-face music collaboration being severely limited during the
recent pandemic, mixed reality technologies and their potential to provide
musicians a feeling of ""being there"" with their musical partner can offer
tremendous opportunities. In order to assess this potential, we conducted a
laboratory study in which musicians made music together in real-time while
simultaneously seeing their jamming partner's mixed reality point cloud via a
head-mounted display and compared mental effects such as flow, affect, and
co-presence to an audio-only baseline. In addition, we tracked the musicians'
physiological signals and evaluated their features during times of
self-reported flow. For users jamming in mixed reality, we observed a
significant increase in co-presence. Regardless of the condition (mixed reality
or audio-only), we observed an increase in positive affect after jamming
remotely. Furthermore, we identified heart rate and HF/LF as promising features
for classifying the flow state musicians experienced while making music
together.","['Ruben Schlagowski', 'Dariia Nazarenko', 'Yekta Can', 'Kunal Gupta', 'Silvan Mertes', 'Mark Billinghurst', 'Elisabeth André']",2023-01-23T12:56:03Z,http://arxiv.org/abs/2301.09402v1,['cs.HC']
Toward Mixed Reality Hybrid Objects with IoT Avatar Agents,"The internet-of-things (IoT) refers to the growing field of interconnected
pervasive computing devices and the networking that supports smart, embedded
applications. The IoT has multiple human-computer interaction challenges due to
its many formats and interlinked components, and central to these is the need
to provide sensory information and situational context pertaining to users in a
more human-friendly, easily understandable format. This work addresses this by
applying mixed reality toward expressing the underlying behaviors and states
internal to IoT devices and IoT-enabled objects. It extends the authors'
previous research on IoT Avatars (mixed reality character representations of
physical IoT devices), presenting a new head-mounted display framework and
interconnection architecture. This contributes i) an exploration of mixed
reality for smart spaces, ii) an approach toward expressive avatar behaviors
using fuzzy inference, and iii) an early functional prototype of a hybrid
physical and mixed reality IoT-enabled object. This approach is a step toward
new information presentation, interaction, and engagement capabilities for
smart devices and environments.","['Alexis Morris', 'Jie Guan', 'Nadine Lessio', 'Yiyi Shao']",2023-05-19T19:10:09Z,http://arxiv.org/abs/2305.11960v1,['cs.HC']
A 3D Mixed Reality Interface for Human-Robot Teaming,"This paper presents a mixed-reality human-robot teaming system. It allows
human operators to see in real-time where robots are located, even if they are
not in line of sight. The operator can also visualize the map that the robots
create of their environment and can easily send robots to new goal positions.
The system mainly consists of a mapping and a control module. The mapping
module is a real-time multi-agent visual SLAM system that co-localizes all
robots and mixed-reality devices to a common reference frame. Visualizations in
the mixed-reality device then allow operators to see a virtual life-sized
representation of the cumulative 3D map overlaid onto the real environment. As
such, the operator can effectively ""see through"" walls into other rooms. To
control robots and send them to new locations, we propose a drag-and-drop
interface. An operator can grab any robot hologram in a 3D mini map and drag it
to a new desired goal pose. We validate the proposed system through a user
study and real-world deployments. We make the mixed-reality application
publicly available at https://github.com/cvg/HoloLens_ros.","['Jiaqi Chen', 'Boyang Sun', 'Marc Pollefeys', 'Hermann Blum']",2023-10-03T19:25:43Z,http://arxiv.org/abs/2310.02392v1,['cs.RO']
CPR Emergency Assistance Through Mixed Reality Communication,"We design and evaluate a mixed reality real-time communication system for
remote assistance during CPR emergencies. Our system allows an expert to guide
a first responder, remotely, on how to give first aid. RGBD cameras capture a
volumetric view of the local scene including the patient, the first responder,
and the environment. The volumetric capture is augmented onto the remote
expert's view to spatially guide the first responder using visual and verbal
instructions. We evaluate the mixed reality communication system in a research
study in which participants face a simulated emergency. The first responder
moves the patient to the recovery position and performs chest compressions as
well as mouth-to-mask ventilation. Our study compares mixed reality against
videoconferencing-based assistance using CPR performance measures, cognitive
workload surveys, and semi-structured interviews. We find that more visual
communication including gestures and objects is used by the remote expert when
assisting in mixed reality compared to videoconferencing. Moreover, the
performance and the workload of the first responder during simulation do not
differ significantly between the two technologies.","['Manuel Rebol', 'Alexander Steinmaurer', 'Florian Gamillscheg', 'Krzysztof Pietroszek', 'Christian Gütl', 'Claudia Ranniger', 'Colton Hood', 'Adam Rutenberg', 'Neal Sikka']",2023-12-14T17:21:15Z,http://arxiv.org/abs/2312.09150v1,['cs.HC']
Semi-autonomous Robotic Disassembly Enhanced by Mixed Reality,"In this study, we introduce ""SARDiM,"" a modular semi-autonomous platform
enhanced with mixed reality for industrial disassembly tasks. Through a case
study focused on EV battery disassembly, SARDiM integrates Mixed Reality,
object segmentation, teleoperation, force feedback, and variable autonomy.
Utilising the ROS, Unity, and MATLAB platforms, alongside a joint impedance
controller, SARDiM facilitates teleoperated disassembly. The approach combines
FastSAM for real-time object segmentation, generating data which is
subsequently processed through a cluster analysis algorithm to determine the
centroid and orientation of the components, categorizing them by size and
disassembly priority. This data guides the MoveIt platform in trajectory
planning for the Franka Robot arm. SARDiM provides the capability to switch
between two teleoperation modes: manual and semi-autonomous with variable
autonomy. Each was evaluated using four different Interface Methods (IM):
direct view, monitor feed, mixed reality with monitor feed, and point cloud
mixed reality. Evaluations across the eight IMs demonstrated a 40.61% decrease
in joint limit violations using Mode 2. Moreover, Mode 2-IM4 outperformed Mode
1-IM1 by achieving a 2.33%-time reduction while considerably increasing safety,
making it optimal for operating in hazardous environments at a safe distance,
with the same ease of use as teleoperation with a direct view of the
environment.","['Alireza Rastegarpanah', 'Cesar Alan Contreras', 'Rustam Stolkin']",2024-05-06T14:47:40Z,http://arxiv.org/abs/2405.03530v1,['cs.RO']
Privacy Implications of Eye Tracking in Mixed Reality,"Mixed Reality (MR) devices require a world with always-on sensors and
real-time processing applied to their outputs. We have grappled with some of
the ethical concerns presented by this scenario, such as bystander privacy
issues with smartphones and cameras. However, MR technologies demand that we
define and defend privacy in this new paradigm. This paper focuses on the
challenges presented by eye tracking and gaze tracking, techniques that have
commonly been deployed in the HCI community for years but are now being
integrated into MR devices by default.","['Diane Hosfelt', 'Nicole Shadowen']",2020-07-20T16:25:35Z,http://arxiv.org/abs/2007.10235v1,"['cs.HC', 'cs.CY']"
